"product_id","title","author","date","ver.purchase","format","stars","comments","helpful","rver_url","rver_id"
"B005SP2LWW","I love this wrap! Grows with your changing body and keeps baby secure!","Elizabeth","August 17, 2018",1,"Format: Baby Product",5,"I've tried a few wraps out there - but this one - this is the real thing! Many other wraps require you buy a certain size (S, M, L, etc) - this isn't helpful as your body grows or slims with pregnancy. This wrap is extremely versatile, as it moves and grows with you. I've fluxed approximately 60lbs and can still wear this sling snug and tight throughout my body's changes. Also, the product itself is very well made - the fabric is high quality and there's plenty of it to securely swaddle both you and your child, together.I will most definitely be purchasing a second one in the near future! Bonus: so many great color options!",,"https://www.amazon.com/gp/profile/amzn1.account.AGLWFOMYR5F254ESNMZJF37J7TJA/ref=cm_cr_arp_d_pdp?ie=UTF8","AGLWFOMYR5F254ESNMZJF37J7TJA"
"B005SP2LWW","Baby loves it","CCM","August 17, 2018",1,"Format: Baby Product",4,"It’s comfortable and baby loves it but it’s hard to get it on tightly the way photos look",,"https://www.amazon.com/gp/profile/amzn1.account.AEKXZWOQMEGXZZ3ZXCO5KES5G23Q/ref=cm_cr_arp_d_pdp?ie=UTF8","AEKXZWOQMEGXZZ3ZXCO5KES5G23Q"
"B005SP2LWW","A must have item!","KD","August 16, 2018",1,"Format: Baby Product",5,"This is a life saver!! With baby number two having a second pair of hands is essential and this allows you to have your baby close and happy while having your hands free a must have for every Mom it was a little complicated the first time to put on but I watched a YouTube video and bam now I am an expert",,"https://www.amazon.com/gp/profile/amzn1.account.AG7JXWMA6YSYL5P67OT24UKYPGIA/ref=cm_cr_arp_d_pdp?ie=UTF8","AG7JXWMA6YSYL5P67OT24UKYPGIA"
"B005SP2LWW","One Star","Amazon Customer","August 16, 2018",1,"Format: Baby Product",1,"Too much fabric",,"https://www.amazon.com/gp/profile/amzn1.account.AEKXIUCYZUB726TDSRKOWUSDAVKQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AEKXIUCYZUB726TDSRKOWUSDAVKQ"
"B005SP2LWW","Baby!","Danyell williams","August 16, 2018",1,"Format: Baby Product",5,"My friend really loves it",,"https://www.amazon.com/gp/profile/amzn1.account.AEEDPS3WFFIIWKUWVYCXXS6RPPSQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AEEDPS3WFFIIWKUWVYCXXS6RPPSQ"
"B005SP2LWW","Deep Purple is Gorgeous!","Roberta Rodriguez","August 16, 2018",1,"Format: Baby Product",5,"Got this for my daughters bundle of joy and she loves it!",,"https://www.amazon.com/gp/profile/amzn1.account.AHAUKSAZ6LG4BFMWDQ7DKUX6LCTA/ref=cm_cr_arp_d_pdp?ie=UTF8","AHAUKSAZ6LG4BFMWDQ7DKUX6LCTA"
"B005SP2LWW","Nice a stretchy","Amazon Customer","August 15, 2018",1,"Format: Baby Product",5,"Love boba wraps this is my second one since I gifted my first and now I’m having another baby. So perfect so small baby and stretchy so it doesn’t feel like they are squished.",,"https://www.amazon.com/gp/profile/amzn1.account.AGLXLBDHRYCZYEIJTWXKK6E4YTXA/ref=cm_cr_arp_d_pdp?ie=UTF8","AGLXLBDHRYCZYEIJTWXKK6E4YTXA"
"B005SP2LWW","Best wrap!","Haley D.","August 14, 2018",1,"Format: Baby Product",5,"I don’t know how I ever lived without this with my first child and the first 3 weeks of my second! My second child loves/ wants to be held a lot and always wants to be on my breast and this wrap made it super easy to walk, hold and feed her at the same time. Game changer! It’s soft and extremely gentle on the back, worth this and more.",,"https://www.amazon.com/gp/profile/amzn1.account.AG6NHRBYRYGUOTPSRRGJWSBYTB6A/ref=cm_cr_arp_d_pdp?ie=UTF8","AG6NHRBYRYGUOTPSRRGJWSBYTB6A"
"B005SP2LWW","I love this product","Mariana Talavera","August 13, 2018",1,"Format: Baby Product",5,"I love this product. The fabric is very confortable and I love to be able to use my hand while having my baby near me. Once you used it twice you are already a pro wearing it. I will recommend to every new mommy to put it on their baby registry because it is worth it.",,"https://www.amazon.com/gp/profile/amzn1.account.AH2TB3E6GVWH5WAJSTUUNHFN7A5A/ref=cm_cr_arp_d_pdp?ie=UTF8","AH2TB3E6GVWH5WAJSTUUNHFN7A5A"
"B005SP2LWW","Master your wrapping skills.","Cierra Caldwell","August 13, 2018",1,"Format: Baby Product",4,"Love it. I can have my baby close to me while walking in the malls.",,"https://www.amazon.com/gp/profile/amzn1.account.AEMMXI2MTHNEXCQMYJ3O3KBT2SVA/ref=cm_cr_arp_d_pdp?ie=UTF8","AEMMXI2MTHNEXCQMYJ3O3KBT2SVA"
"B005SP2LWW","Try jt","Meg","August 11, 2018",1,"Format: Baby Product",5,"I’ve walked my daughter to sleep in this wrap more than once! I had to be made a believer about this one but I’m sure glad I bought it. It doesn’t hurt my back and it supports her very well. Anything you need to get done you can do while their in this wrap!",,"https://www.amazon.com/gp/profile/amzn1.account.AGWIZWNTKKTPQYBBXS6UZNYTJCXQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AGWIZWNTKKTPQYBBXS6UZNYTJCXQ"
"B005SP2LWW","Great design","Amazon Customer","August 10, 2018",1,"Format: Baby Product",5,"Happy with the material",,"https://www.amazon.com/gp/profile/amzn1.account.AHXZEMC3MYLBIXJTJC4BA7K5NN6A/ref=cm_cr_arp_d_pdp?ie=UTF8","AHXZEMC3MYLBIXJTJC4BA7K5NN6A"
"B005SP2LWW","Compared to two other wraps I chose this one","Amazon Customer","August 10, 2018",1,"Format: Baby Product",5,"I am a petite mom (4’11 102lbs) so I ordered this wrap and two other wraps (the baby wrap ergo and Keababies wrap- you can find both on Amazon) I wanted to measure them all and see which one would be the shortest so that it wouldn’t be too long.I got to say all other wraps I mentioned were all great but they weren’t as stretchy as this one. So depending on what you’re looking for each one has its perks.The Keababies was definitely the shortest out of all of them and there wasn’t so much fabric, it was also a cool fabric so baby wouldn’t get too hot. The fabric wasn’t very stretchy.The ergo baby wrap was the same length as the Boba wrap it has less fabric on the width though and it is also not as stretchy as the boba, the fabric is also cotton and therefore pretty cool.Overall the reason why I kept the Boba wrap was because of its stretchy material. My baby didn’t like the other wraps because she felt a little tight in them but she loves this wrap. As for the length it doesn’t seem long at all once you wrap it around you.",,"https://www.amazon.com/gp/profile/amzn1.account.AGHU2N2FWNBOWUEYFU55KCJVYSPQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AGHU2N2FWNBOWUEYFU55KCJVYSPQ"
"B005SP2LWW","Too much work.","Rachel","August 10, 2018",1,"Format: Baby Product",2,"Way too complicated. Not my style. Sakura bloom is much easier and functional. I feel like I should have been doing some circus ribbon act. My hips are wide and my back has a big curve. It just didn’t stay tight and was too much work when I was already exhausted just breathing during my early baby days. I had a c-section. Could work for someone else, but if you’re like me and efficient, meh.",,"https://www.amazon.com/gp/profile/amzn1.account.AEZBG6CVXV66DHKRAWTEJ66OKR3A/ref=cm_cr_arp_d_pdp?ie=UTF8","AEZBG6CVXV66DHKRAWTEJ66OKR3A"
"B005SP2LWW","Hot","Happy in Boston","August 10, 2018",1,"Format: Baby Product",4,"Works great but me and baby get really hot. Can only use in air conditionet house",,"https://www.amazon.com/gp/profile/amzn1.account.AFIS76JXIGUG3VTJIIYSG3NSRTCQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AFIS76JXIGUG3VTJIIYSG3NSRTCQ"
"B005SP2LWW","Love this wrap.","Jennifer Lemay","August 9, 2018",1,"Format: Baby Product",5,"I love the material that this bobs wrap is made of. Very comfortable, mildly stretchy so I can bounce my son a little while he's strapped in.",,"https://www.amazon.com/gp/profile/amzn1.account.AHA2FTYICP257WU2ZMX7HXFPBC6A/ref=cm_cr_arp_d_pdp?ie=UTF8","AHA2FTYICP257WU2ZMX7HXFPBC6A"
"B005SP2LWW","Maybe I’m just short","Maribel","August 4, 2018",1,"Format: Baby Product",2,"Honestly it’s a good product. It’s just that I’m 4’11 and this has way too much fabric. It doesn’t fit me. Maybe it’s just cuz I’m short 🤷🏻‍♀️",,"https://www.amazon.com/gp/profile/amzn1.account.AFMXKWI527ZWVKJWT6N53PBI6F2A/ref=cm_cr_arp_d_pdp?ie=UTF8","AFMXKWI527ZWVKJWT6N53PBI6F2A"
"B005SP2LWW","Great product","Jerry Smith","August 4, 2018",1,"Format: Baby Product",5,"Very nice product",,"https://www.amazon.com/gp/profile/amzn1.account.AFR25JOX4QFQ73Y244C2IOWAPMMA/ref=cm_cr_arp_d_pdp?ie=UTF8","AFR25JOX4QFQ73Y244C2IOWAPMMA"
"B005SP2LWW","Shopping/errands made more peaceful with our Boba!","Aileen ","August 3, 2018",1,"Format: Baby Product",5,"As a mom of 3, this wrap makes it easy to shop. My baby girl ia 2 months old and screams in her carseat carrier in the store. I decided to try the wrap instead. (She feels more safe and secure close to me). It worked wondetfully. My baby let me do all my shopping while she slept snug in our Boba. Happy baby=stress free shopping &that makes for happy momma. The only conern i have is outdoors this summer.  Although the material is great quality, it is a bit too thick. Gets too hot on her outside.",,"https://www.amazon.com/gp/profile/amzn1.account.AHHW4TIHY2BS2JY7KZBYZQU4QZ7A/ref=cm_cr_arp_d_pdp?ie=UTF8","AHHW4TIHY2BS2JY7KZBYZQU4QZ7A"
"B005SP2LWW","Hands down the best baby wearing wrap out there!","Lauraavon83","August 3, 2018",1,"Format: Baby Product",5,"This was actually my second purchase! I had one before, but didn't find myself using it a ton. I found myself using my lillebaby carrier more. So I gave my original wrap to one of my good friends who had just had her third baby, and was having a tough time trying to figure out how to juggle daily tasks and new baby. It completely changed her life, and her husband loves to wear it as well! I then had a trip that I was going to be going on, that I thought I would be nice to have a wrap in conjunction with having my lillebaby carrier. I wasn't sure if I should spend the money for another Boba, so I try to knock off brand. I regretted it instantly as I put the other wrap on. It was way too tight, and had no give to the fabric at all. I'm used to tying tight with the Boba wrap, so I had to completely undo the tie and do it again a little looser, which was just a huge pain in the middle of our event we were attending. I was really bummed, but knew immediately how worth it it was to have a Boba. That night I ordered my new wrap without hesitation. I told my friend that a Boba is gold to have, and I wanted her to keep mine. They are so worth their weight in gold, that I had bought myself another one.",,"https://www.amazon.com/gp/profile/amzn1.account.AF63QBMTRF5LAPM3DSSP6GFPDYYQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AF63QBMTRF5LAPM3DSSP6GFPDYYQ"
"B005SP2LWW","Hands free and loving it!!!","stacy rogers","August 2, 2018",1,"Format: Baby Product",5,"I got the wrap to be able to be hands free at work and home and its AMAZING! He loves the wrap as well. Calms down instantly! A must have for moms and so easy to wear!",,"https://www.amazon.com/gp/profile/amzn1.account.AHQMCZNIEUGZL7WLSJY36O7LXVRA/ref=cm_cr_arp_d_pdp?ie=UTF8","AHQMCZNIEUGZL7WLSJY36O7LXVRA"
"B005SP2LWW","👶🏻🤱🏻Soooo glad I got this❣️❣️❣️","cori","August 1, 2018",1,"Format: Baby Product",5,"💕👶🏻🤱🏻this is sooo easy to master and so much more comfortable and more secure than the Infantino Carrier that costs more! i got this wrap just to try-i honestly didn’t think i’d be able to figure it out so fast but after watching a few Youtube videos, i had it down perfectly💪😉. there are no big hard plastic buckles, thick ugly nylon or snaps to try to work with-just one long piece of fabric, which is sooo soft and stretchy! and i didn’t think getting it on too tight would be possible but the first time i put it on and put my 13week old son it it, it WAS too tight!!😜so retied it a little looser and perfect👌my little guy nestles in there so snug and secure! i know this will be a great investment-my son is 11lbs and this wrap will safely carry toddlers up to 35lbs! i’m so glad i got it! well worth the money❣️🤱🏻👶🏻",,"https://www.amazon.com/gp/profile/amzn1.account.AFPSRMPPXC3QTGXC3VKXNHB5OG4Q/ref=cm_cr_arp_d_pdp?ie=UTF8","AFPSRMPPXC3QTGXC3VKXNHB5OG4Q"
"B005SP2LWW","I love this! It's so durable","Talley Prime","July 31, 2018",1,"Format: Baby Product",5,"I love this! It's so durable! My LO doesn't like being confined but she stays in it for about 30 minutes at a time!",,"https://www.amazon.com/gp/profile/amzn1.account.AGFXO4ULMQIQEMJDOXKY27IIAQ6Q/ref=cm_cr_arp_d_pdp?ie=UTF8","AGFXO4ULMQIQEMJDOXKY27IIAQ6Q"
